id_advert,modele,size,brand,price,price_decimal,ressell_price,promoted,identic_title_description,short_description,secure_description,has_emoji_description,other_campus_dressing,other_campus_dressing_count,hype_products_dressing,hype_products_dressing_count,other_campus_sell,other_campus_sell_count,hype_products_sell,hype_products_sell_count,description_user,sell_sneaker_account,item_count,total_items_count,given_item_count,taken_item_count,feedback_reputation,followers_count,following_count,gender,photo,is_publish_photos_agreed,expose_location,city,country_title,verification_facebook,verification_google,verification_phone,scam
3983317304,black,42.0,adidas Superstar,58.0,0,110,0,0,1,0,0,1.0,3,0.0,0,0.0,0,0.0,0,1,0,4,4,0,0,0.0,0,0,not_specified,1,0,1,Marseille,France,0,0,1,1
3982485816,grey,38.0,adidas,90.25,1,143,0,1,1,0,0,0.0,0,1.0,1,1.0,2,0.0,0,1,0,2,6,6,0,1.0,0,0,M,1,0,1,Wattrelos,France,0,0,1,1
3983179482,grey,37.0,adidas Superstar,55.0,0,216,0,1,1,0,0,1.0,4,0.0,0,0.0,0,0.0,0,1,0,5,5,1,0,0.0,0,0,not_specified,1,0,1,Paris,Francia,0,0,1,1
3979411145,grey,38.0,adidas Superstar,65.0,0,143,0,0,0,0,0,1.0,2,0.0,0,0.0,0,0.0,0,1,0,3,4,2,0,0.0,0,0,not_specified,1,0,1,Angoulême,France,0,0,1,1
3980664414,crystal,41.0,Dynam,72.5,0,129,0,1,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1,1,2,0,0.0,0,0,not_specified,1,0,1,Lyon,France,0,0,1,1
3975353604,black,39.0,adidas,76.0,0,129,0,1,1,0,0,0.0,0,0.0,0,1.0,1,0.0,0,1,0,1,8,8,0,1.0,4,2,F,1,1,1,Tours,France,0,0,1,1
3983299773,black,38.0,adidas Originals,79.0,0,118,0,1,1,0,0,0.0,0,0.0,0,0.25,2,0.0,0,1,0,2,12,11,4,0.8,2,0,F,1,0,1,Gragnague,France,0,1,1,1
3980113195,grey,39.0,adidas Superstar,60.0,0,137,0,0,0,0,1,1.0,2,0.0,0,0.0,0,0.0,0,1,0,3,7,9,0,0.0,0,0,not_specified,1,0,1,Angoulême,France,0,0,1,1
3983116139,black,41.0,adidas Superstar,49.9,0,110,0,0,0,0,1,1.0,16,0.0,0,0.0,0,0.0,0,1,0,17,17,2,0,0.0,1,0,not_specified,0,0,1,Apremont,France,0,0,1,1
3974731149,grey,39.0,adidas Superstar,60.99,0,137,0,0,0,0,0,1.0,1,0.0,0,0.0,0,0.0,0,1,0,2,3,2,0,0.0,0,0,not_specified,1,0,1,Angoulême,France,0,0,1,1
3978129084,grey,42.0,adidas Superstar,61.2,1,271,0,0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,2,3,1,0,0.0,0,0,not_specified,0,0,1,Berriac,France,0,0,1,1
3983167740,black,37.0,adidas Superstar,56.0,0,111,0,0,1,0,0,1.0,4,0.0,0,0.0,0,0.0,0,1,0,5,5,0,0,0.0,0,0,not_specified,1,0,1,Paris,France,0,0,1,1
3978350897,black,37.0,Dynam,75.0,0,111,0,1,1,0,0,1.0,1,0.0,0,0.0,0,0.0,0,1,0,2,2,2,0,0.0,0,0,not_specified,0,0,1,Alès,France,0,0,1,1
3982495574,green,36.0,adidas Superstar,64.9,0,125,0,1,1,0,0,1.0,4,0.0,0,0.0,0,0.0,0,1,0,5,5,2,0,0.0,0,0,not_specified,1,0,1,Paris,France,0,0,1,1
3979267637,grey,39.0,adidas Superstar,70.0,0,137,0,0,0,0,0,1.0,2,0.0,0,0.0,0,0.0,0,1,0,3,7,5,0,0.0,0,0,not_specified,1,0,1,Angoulême,Francia,0,0,1,1
3983343175,black,39.0,adidas Superstar,57.0,0,129,0,0,1,0,0,1.0,3,0.0,0,0.0,0,0.0,0,1,0,4,4,0,0,0.0,0,0,not_specified,1,0,1,Paris,Francia,0,0,1,1
3978540625,grey,39.0,adidas Superstar,65.0,0,137,0,0,0,0,0,1.0,2,0.0,0,0.0,0,0.0,0,1,0,3,4,2,0,0.0,0,0,not_specified,1,0,1,Angoulême,Frankreich,0,0,1,1
3983111212,black,39.0,adidas Originals,79.0,0,129,0,0,0,0,0,0.0,0,0.0,0,0.9090909090909092,30,0.0,0,0,0,2,45,44,0,0.96,0,0,not_specified,1,0,1,Saint-Étienne,France,0,0,1,1
3978437666,green,39.0,adidas,99.0,0,136,0,0,0,0,1,1.0,1,0.0,0,0.0,0,0.0,0,1,0,2,9,7,0,0.8,0,0,not_specified,1,0,1,Rueil-Malmaison,France,0,1,1,1
3981573681,grey,40.0,adidas Superstar,56.78,1,231,0,0,0,0,0,1.0,4,0.0,0,0.0,0,0.0,0,1,0,5,5,0,0,0.0,0,0,not_specified,1,0,1,Nantes,France,0,0,1,1
